Rent ID,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Province_id,Centre_id,Zone_id,Neighbourhood_id,Dwelling_id
Rent_157,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone34,Neighbourhood77,Dwelling1
Rent_158,532.0,555.0,655.0,800.0,638.0,2018,Province4,centre6,Zone34,Neighbourhood77,Dwelling2
Rent_159,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone35,Neighbourhood78,Dwelling1
Rent_160,681.0,755.0,797.0,995.0,828.0,2018,Province4,centre6,Zone35,Neighbourhood78,Dwelling2
Rent_161,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone35,Neighbourhood79,Dwelling1
Rent_162,520.0,621.0,718.0,981.0,692.0,2018,Province4,centre6,Zone35,Neighbourhood79,Dwelling2
Rent_163,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone36,Neighbourhood80,Dwelling1
Rent_164,549.0,657.0,752.0,1186.0,745.0,2018,Province4,centre6,Zone36,Neighbourhood80,Dwelling2
Rent_165,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone37,Neighbourhood81,Dwelling1
Rent_166,481.0,545.0,699.0,910.0,714.0,2018,Province4,centre6,Zone37,Neighbourhood81,Dwelling2
Rent_167,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone37,Neighbourhood82,Dwelling1
Rent_168,537.0,621.0,716.0,741.0,683.0,2018,Province4,centre6,Zone37,Neighbourhood82,Dwelling2
Rent_169,0.0,475.0,620.0,0.0,572.0,2018,Province4,centre6,Zone38,Neighbourhood83,Dwelling1
Rent_170,516.0,576.0,657.0,896.0,661.0,2018,Province4,centre6,Zone38,Neighbourhood83,Dwelling2
Rent_171,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone39,Neighbourhood84,Dwelling1
Rent_172,491.0,643.0,796.0,1028.0,741.0,2018,Province4,centre6,Zone39,Neighbourhood84,Dwelling2
Rent_173,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone39,Neighbourhood85,Dwelling1
Rent_174,471.0,621.0,726.0,1173.0,689.0,2018,Province4,centre6,Zone39,Neighbourhood85,Dwelling2
Rent_175,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone40,Neighbourhood86,Dwelling1
Rent_176,610.0,746.0,866.0,946.0,822.0,2018,Province4,centre6,Zone40,Neighbourhood86,Dwelling2
Rent_177,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone41,Neighbourhood87,Dwelling1
Rent_178,534.0,608.0,703.0,862.0,694.0,2018,Province4,centre6,Zone41,Neighbourhood87,Dwelling2
Rent_179,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone41,Neighbourhood88,Dwelling1
Rent_180,574.0,747.0,903.0,1149.0,839.0,2018,Province4,centre6,Zone41,Neighbourhood88,Dwelling2
Rent_181,0.0,0.0,1138.0,1508.0,1342.0,2018,Province4,centre6,Zone42,Neighbourhood89,Dwelling1
Rent_182,735.0,1056.0,1193.0,1229.0,1126.0,2018,Province4,centre6,Zone42,Neighbourhood89,Dwelling2
Rent_183,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone42,Neighbourhood90,Dwelling1
Rent_184,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone42,Neighbourhood90,Dwelling2
Rent_185,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone42,Neighbourhood91,Dwelling1
Rent_186,536.0,680.0,781.0,965.0,739.0,2018,Province4,centre6,Zone42,Neighbourhood91,Dwelling2
Rent_187,0.0,0.0,1040.0,1240.0,1141.0,2018,Province4,centre6,Zone43,Neighbourhood92,Dwelling1
Rent_188,571.0,760.0,887.0,1067.0,853.0,2018,Province4,centre6,Zone43,Neighbourhood92,Dwelling2
Rent_189,0.0,0.0,0.0,0.0,0.0,2018,Province4,centre6,Zone43,Neighbourhood93,Dwelling1
Rent_190,607.0,748.0,862.0,952.0,828.0,2018,Province4,centre6,Zone43,Neighbourhood93,Dwelling2
