Province,Centres,Zones,Neighbourhood,Dwelling Type ,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year,Centre_id,Zone_id,Units_ID
Que,Montréal,Hochelaga-Maisonneuve,East Ville-Marie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone35,Units_159
Que,Montréal,Hochelaga-Maisonneuve,East Ville-Marie,Apt & Other,1214.0,2999.0,5254.0,1686.0,11153.0,2018,centre6,Zone35,Units_160
Que,Montréal,Hochelaga-Maisonneuve,Hochelaga-Maisonneuve,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone35,Units_161
Que,Montréal,Hochelaga-Maisonneuve,Hochelaga-Maisonneuve,Apt & Other,2014.0,4436.0,8524.0,2616.0,17590.0,2018,centre6,Zone35,Units_162
Que,Montréal,Rosemont/La Petite-Patrie,Rosemont/La Petite-Patrie,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone36,Units_163
Que,Montréal,Rosemont/La Petite-Patrie,Rosemont/La Petite-Patrie,Apt & Other,5302.0,12130.0,22197.0,4009.0,43638.0,2018,centre6,Zone36,Units_164
Que,Montréal,Anjou/Saint-Léonard,Saint-Léonard,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone37,Units_165
Que,Montréal,Anjou/Saint-Léonard,Saint-Léonard,Apt & Other,251.0,2321.0,13927.0,2565.0,19064.0,2018,centre6,Zone37,Units_166
Que,Montréal,Anjou/Saint-Léonard,Anjou,Row,0.0,2.0,0.0,4.0,6.0,2018,centre6,Zone37,Units_167
Que,Montréal,Anjou/Saint-Léonard,Anjou,Apt & Other,349.0,1747.0,5382.0,1090.0,8568.0,2018,centre6,Zone37,Units_168
Que,Montréal,Montréal-Nord,Montréal-Nord,Row,0.0,5.0,10.0,0.0,15.0,2018,centre6,Zone38,Units_169
Que,Montréal,Montréal-Nord,Montréal-Nord,Apt & Other,759.0,3689.0,14951.0,2465.0,21864.0,2018,centre6,Zone38,Units_170
Que,Montréal,Ahuntsic/Cartierville,Ahuntsic,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone39,Units_171
Que,Montréal,Ahuntsic/Cartierville,Ahuntsic,Apt & Other,2031.0,6362.0,12519.0,1765.0,22677.0,2018,centre6,Zone39,Units_172
Que,Montréal,Ahuntsic/Cartierville,Cartierville,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone39,Units_173
Que,Montréal,Ahuntsic/Cartierville,Cartierville,Apt & Other,720.0,2322.0,3262.0,445.0,6749.0,2018,centre6,Zone39,Units_174
Que,Montréal,Saint-Laurent,Saint-Laurent,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone40,Units_175
Que,Montréal,Saint-Laurent,Saint-Laurent,Apt & Other,727.0,5194.0,8165.0,1783.0,15869.0,2018,centre6,Zone40,Units_176
Que,Montréal,Dorval/Lachine/Saint-Pierre,Lachine,Row,0.0,1.0,2.0,0.0,3.0,2018,centre6,Zone41,Units_177
Que,Montréal,Dorval/Lachine/Saint-Pierre,Lachine,Apt & Other,418.0,2094.0,4959.0,955.0,8426.0,2018,centre6,Zone41,Units_178
Que,Montréal,Dorval/Lachine/Saint-Pierre,Dorval/Île-Dorval,Row,0.0,0.0,0.0,0.0,0.0,2018,centre6,Zone41,Units_179
Que,Montréal,Dorval/Lachine/Saint-Pierre,Dorval/Île-Dorval,Apt & Other,329.0,1151.0,1281.0,187.0,2948.0,2018,centre6,Zone41,Units_180
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Pointe-Claire,Row,0.0,20.0,108.0,267.0,395.0,2018,centre6,Zone42,Units_181
Que,Montréal,Baie-d'Urfé/Beaconsfield etc.,Pointe-Claire,Apt & Other,132.0,818.0,970.0,287.0,2207.0,2018,centre6,Zone42,Units_182
